id,created_at,question,explanation,tags,type,answers
71,2024-07-04T12:07:11,🤔 Вопрос: Какой HTML-тег используется для добавления видео на веб-страницу?,,"[""HTML""]",message,"[{""text"":""<video>""},{""text"":""<media>""},{""text"":""<movie>""},{""text"":""<stream>""}]"
73,2024-07-04T19:07:09,"🤔 Вопрос: Как в CSS создать анимацию, которая постоянно повторяется?",,"[""CSS""]",message,"[{""text"":""Применение свойства `animation-repeat: forever;`""},{""text"":""Установка свойства `animation-name: loop;`""},{""text"":""Настройка свойства `animation-cycle: continuous;`""},{""text"":""Использование свойства `animation-iteration-count: infinite;`""}]"
74,2024-07-05T12:07:12,🤔 Вопрос: Какой объект JavaScript предоставляет методы для манипулирования адресом URL текущего окна браузера?,,"[""JavaScript""]",message,"[{""text"":""window.location""},{""text"":""document.url""},{""text"":""browser.address""},{""text"":""navigator.path""}]"
76,2024-07-05T19:07:12,"🤔 Какой атрибут HTML используется для создания гиперссылки, которая указывает на другую веб-страницу?",,"[""HTML""]",message,"[{""text"":""src""},{""text"":""href""},{""text"":""link""},{""text"":""ref""}]"
77,2024-07-06T12:07:11,🤔 Какой CSS-селектор выбирает элементы на основе их атрибута?,,"[""CSS""]",message,"[{""text"":""#id""},{""text"":"".class""},{""text"":""[attribute=value]""},{""text"":"":first-child""}]"
79,2024-07-07T12:07:13,🤔 Что такое генераторы в JavaScript?,,"[""JavaScript""]",message,"[{""text"":""Специальные функции, возвращающие промисы""},{""text"":""Функции, позволяющие управлять итерацией""},{""text"":""Функции для создания прототипов объектов""},{""text"":""Механизм управления ошибками""}]"
80,2024-07-07T18:36:33,,,[],message,[]
81,2024-07-07T19:07:10,🤔 Какой из этих операторов выполняет строгое неравенство в JavaScript?,,"[""JavaScript""]",message,"[{""text"":""!=""},{""text"":""!==""},{""text"":""<>""},{""text"":""^=""}]"
87,2024-07-09T12:10:06,🤔 Что такое IIFE в JavaScript?,,"[""JavaScript""]",message,"[{""text"":""Функция, вызываемая в конце программы""},{""text"":""Функция, выполняемая немедленно после определения""},{""text"":""Функция, выполняемая при ошибке""},{""text"":""Функция для асинхронного выполнения""}]"
89,2024-07-09T19:10:08,🤔 Какой символ используется для объявления объектов?,,[],message,"[{""text"":""[]""},{""text"":""{}""},{""text"":""()""},{""text"":""//""}]"
90,2024-07-09T23:10:11,"🤔 Как называется функция, которая вызывает саму себя?",,[],message,"[{""text"":""Колбэк-функция""},{""text"":""Анонимная функция""},{""text"":""Рекурсивная функция""},{""text"":""Замыкание""}]"
92,2024-07-10T12:10:11,🤔 Что произойдет при выполнении следующего кода: typeof NaN?,,[],message,"[{""text"":""\""undefined\""""},{""text"":""\""number\""""},{""text"":""\""object\""""},{""text"":""\""NaN\""""}]"
93,2024-07-10T16:15:21,,,[],message,[]
95,2024-07-10T19:10:09,🤔 Какая конструкция завершает выполнение цикла преждевременно?,,[],message,"[{""text"":""continue""},{""text"":""break""},{""text"":""return""},{""text"":""exit""}]"
96,2024-07-10T23:10:08,🤔 Что возвращает метод Object.keys() в JavaScript?,,"[""JavaScript""]",message,"[{""text"":""Массив значений свойств объекта""},{""text"":""Массив имен свойств объекта""},{""text"":""Количество свойств объекта""},{""text"":""Новый объект с теми же свойствами""}]"
98,2024-07-11T12:10:13,🤔 Какой оператор выполняет побитовое ИЛИ в JavaScript?,,"[""JavaScript""]",message,"[{""text"":""&""},{""text"":""|""},{""text"":""^""},{""text"":""~""}]"
104,2024-07-11T19:10:19,🤔 Какое значение будет у переменной x после выполнения выражения: let x = 5 + true;?,,"[""let""]",message,"[{""text"":""5""},{""text"":""\""5true\""""},{""text"":""6""},{""text"":""NaN""}]"
105,2024-07-11T23:10:20,🤔 Что такое промис (Promise) в JavaScript?,,"[""JavaScript"",""Promise""]",message,"[{""text"":""Объект для отложенных и асинхронных вычислений""},{""text"":""Метод для обработки ошибок""},{""text"":""Способ создания нового объекта""},{""text"":""Синтаксис для объявления функции""}]"
107,2024-07-12T12:10:22,🤔 Какой из следующих типов данных не является примитивом в JavaScript?,,"[""JavaScript""]",message,"[{""text"":""String""},{""text"":""Number""},{""text"":""Boolean""},{""text"":""Object""}]"
113,2024-07-12T19:10:16,"🤔 Какое ключевое слово используется для проверки наличия свойства непосредственно в объекте, а не в его прототипе?",,[],message,"[{""text"":""exists""},{""text"":""own""},{""text"":""hasOwnProperty""},{""text"":""contains""}]"
115,2024-07-12T23:10:16,🤔 Какой метод используется для копирования значений всех собственных перечисляемых свойств из одного или более исходных объектов в целевой объект?,,[],message,"[{""text"":""Object.assign()""},{""text"":""Object.copy()""},{""text"":""Object.clone()""},{""text"":""Object.merge()""}]"
117,2024-07-13T12:10:10,"🤔 Какое значение будет у переменной z после выполнения выражения: let z = ""3"" * ""3"";?",,"[""let""]",message,"[{""text"":""\""33\""""},{""text"":""9""},{""text"":""NaN""},{""text"":""\""9\""""}]"
122,2024-07-14T12:10:12,🤔 Какой метод HTML5 API используется для локального хранения данных в браузере пользователя?,,"[""HTML"",""API""]",message,"[{""text"":""sessionStorage()""},{""text"":""localStorage()""},{""text"":""clientStorage()""},{""text"":""browserStorage()""}]"
126,2024-07-14T23:10:09,🤔 Какой метод JavaScript используется для создания нового HTML элемента?,,"[""JavaScript"",""HTML""]",message,"[{""text"":""document.createElement()""},{""text"":""document.newElement()""},{""text"":""document.addElement()""},{""text"":""document.createNode()""}]"
128,2024-07-15T12:10:08,🤔 Какое свойство CSS определяет интервал между строками текста?,,"[""CSS""]",message,"[{""text"":""text-align""},{""text"":""text-decoration""},{""text"":""line-height""},{""text"":""letter-spacing""}]"
129,2024-07-15T19:10:20,🤔 Какой HTML-элемент используется для создания нумерованных списков?,,"[""HTML""]",message,"[{""text"":""<ul>""},{""text"":""<ol>""},{""text"":""<list>""},{""text"":""<dl>""}]"
130,2024-07-15T23:10:17,"🤔 Какой тип CSS-свойства background-clip определяет, что фон будет ограничен контентом элемента?",,"[""CSS""]",message,"[{""text"":""border-box""},{""text"":""padding-box""},{""text"":""content-box""},{""text"":""margin-box""}]"
131,2024-07-16T12:10:07,"🤔 Какой CSS-селектор используется для выбора всех элементов, имеющих определённый класс?",,"[""CSS""]",message,"[{""text"":""#""},{""text"":"".""},{""text"":"":""},{""text"":""!""}]"
133,2024-07-16T19:10:15,🤔 Какое значение свойства CSS mask-border-width задает ширину границы маски?,,"[""CSS""]",message,"[{""text"":""auto""},{""text"":""length""},{""text"":""percentage""},{""text"":""Все вышеперечисленные значения""}]"
135,2024-07-16T23:10:13,🤔 Какой атрибут тега <meta> задаёт кодировку символов HTML документа?,,"[""HTML""]",message,"[{""text"":""charset""},{""text"":""content""},{""text"":""http-equiv""},{""text"":""name""}]"
137,2024-07-17T12:10:15,🤔 Какая функция JavaScript используется для перевода JSON-строки в объект?,,"[""JavaScript"",""JSON""]",message,"[{""text"":""JSON.stringify()""},{""text"":""JSON.parse()""},{""text"":""JSON.toObject()""},{""text"":""JSON.toData()""}]"
138,2024-07-17T19:10:07,🤔 Какой псевдоэлемент CSS используется для стилизации первой буквы параграфа?,,"[""CSS""]",message,"[{""text"":""::after""},{""text"":""::before""},{""text"":""::first-letter""},{""text"":""::first-line""}]"
139,2024-07-17T23:10:10,🤔 Какой метод JavaScript применяется для добавления события к элементу?,,"[""JavaScript""]",message,"[{""text"":""addEventListener()""},{""text"":""attachEvent()""},{""text"":""onEvent()""},{""text"":""bindEvent()""}]"
142,2024-07-18T19:10:07,"🤔 Какой атрибут тега <img> указывает текст, который отображается, если изображение не может быть загружено?",,[],message,"[{""text"":""alt""},{""text"":""title""},{""text"":""src""},{""text"":""label""}]"
143,2024-07-18T23:10:09,🤔 Какое значение свойства position в CSS используется для позиционирования элемента относительно его нормального положения?,,"[""CSS""]",message,"[{""text"":""absolute""},{""text"":""fixed""},{""text"":""relative""},{""text"":""static""}]"
144,2024-07-19T12:10:07,🤔 Какое значение свойства CSS grid-auto-rows устанавливает размер автоматически создаваемых строк в Grid Layout?,,"[""CSS""]",message,"[{""text"":""auto""},{""text"":""min-content""},{""text"":""max-content""},{""text"":""1fr""}]"
146,2024-07-19T19:10:09,🤔 Какой метод в React используется для управления состоянием компонентов?,,"[""React"",""состояние""]",message,"[{""text"":""useEffect""},{""text"":""useState""},{""text"":""useReducer""},{""text"":""useContext""}]"
147,2024-07-19T23:10:10,🤔 Какой метод в Vue.js используется для отслеживания изменений данных?,,"[""Vue""]",message,"[{""text"":""computed""},{""text"":""watch""},{""text"":""methods""},{""text"":""props""}]"
150,2024-07-20T19:10:11,"🤔 Какой метод JavaScript позволяет проверить, содержит ли элемент указанный класс?",,"[""JavaScript""]",message,"[{""text"":""hasClass()""},{""text"":""containsClass()""},{""text"":""getClass()""},{""text"":""classList.contains()""}]"
153,2024-07-21T12:10:06,"🤔 Какой атрибут тега <form> указывает, по какому адресу отправлять данные формы?",,[],message,"[{""text"":""action""},{""text"":""method""},{""text"":""enctype""},{""text"":""target""}]"
155,2024-07-21T19:10:08,🤔 Какой CSS-селектор выбирает все элементы с заданным атрибутом?,,"[""CSS""]",message,"[{""text"":""[attribute=value]""},{""text"":""[attribute^=value]""},{""text"":""[attribute*=value]""},{""text"":""[attribute]""}]"
156,2024-07-21T23:10:07,🤔 Какой метод JavaScript используется для создания нового HTML элемента?,,"[""JavaScript"",""HTML""]",message,"[{""text"":""document.createElement()""},{""text"":""document.newElement()""},{""text"":""document.addElement()""},{""text"":""document.createNode()""}]"
157,2024-07-21T23:10:08,🤔 Какое свойство CSS задаёт внутренние отступы элемента?,,"[""CSS""]",message,"[{""text"":""margin""},{""text"":""padding""},{""text"":""border""},{""text"":""outline""}]"
160,2024-07-22T12:10:11,"🤔 Какой элемент HTML5 определяет самостоятельный раздел, который может содержать заголовки?",,"[""HTML""]",message,"[{""text"":""<section>""},{""text"":""<article>""},{""text"":""<div>""},{""text"":""<header>""}]"
161,2024-07-22T19:10:07,🤔 Какой HTML-элемент используется для создания нумерованных списков?,,"[""HTML""]",message,"[{""text"":""<ul>""},{""text"":""<ol>""},{""text"":""<list>""},{""text"":""<dl>""}]"
162,2024-07-22T19:10:09,🤔 Какой CSS-свойство определяет толщину рамки элемента?,,"[""CSS""]",message,"[{""text"":""border-width""},{""text"":""border-color""},{""text"":""border-style""},{""text"":""border-size""}]"
163,2024-07-22T23:10:11,"🤔 Какой тип CSS-свойства background-clip определяет, что фон будет ограничен контентом элемента?",,"[""CSS""]",message,"[{""text"":""border-box""},{""text"":""padding-box""},{""text"":""content-box""},{""text"":""margin-box""}]"
167,2024-07-23T19:10:09,🤔 Какое значение свойства position используется для фиксирования элемента относительно окна браузера?,,[],message,"[{""text"":""static""},{""text"":""absolute""},{""text"":""fixed""},{""text"":""relative""}]"
168,2024-07-23T23:10:09,🤔 Какой атрибут используется в теге <script> для асинхронной загрузки скрипта?,,[],message,"[{""text"":""async""},{""text"":""defer""},{""text"":""asyncload""},{""text"":""preload""}]"
170,2024-07-24T12:10:11,"🤔 Какой элемент HTML используется для определения части страницы с боковой панелью, как для ссылок или рекламы?",,"[""HTML""]",message,"[{""text"":""<sidebar>""},{""text"":""<aside>""},{""text"":""<section>""},{""text"":""<div>""}]"
171,2024-07-24T19:10:12,🤔 Какое CSS свойство изменяет стиль текста на курсив?,,"[""CSS""]",message,"[{""text"":""font-style""},{""text"":""text-decoration""},{""text"":""text-transform""},{""text"":""font-weight""}]"
172,2024-07-24T23:10:07,"🤔 Какой метод JavaScript можно использовать для поиска первого элемента в документе, соответствующего указанному CSS селектору?",,"[""JavaScript"",""CSS""]",message,"[{""text"":""document.querySelector()""},{""text"":""document.getElementById()""},{""text"":""document.findAll()""},{""text"":""document.getElementsByClass()""}]"
174,2024-07-25T12:10:07,🤔 Какой метод в JavaScript позволяет скопировать значения всех собственных перечисляемых свойств из одного в целевой объект?,,"[""JavaScript""]",message,"[{""text"":""Object.assign()""},{""text"":""Object.create()""},{""text"":""Object.defineProperty()""},{""text"":""Object.keys""}]"
175,2024-07-25T19:10:07,"🤔 Какое CSS-свойство используется для создания гибкого контейнера, который автоматически адаптируется к размеру его содержимого?",,"[""CSS""]",message,"[{""text"":""display: grid""},{""text"":""display: inline-block""},{""text"":""display: flex""},{""text"":""display: block""}]"
177,2024-07-25T23:10:07,🤔 Какой HTML тег определяет подпись для элемента <fieldset>?,,"[""HTML""]",message,"[{""text"":""<label>""},{""text"":""<legend>""},{""text"":""<caption>""},{""text"":""<title>""}]"
178,2024-07-26T12:10:08,"🤔 Какой атрибут тега <meta> задаёт описание страницы, которое обычно отображается в результатах поиска?",,[],message,"[{""text"":""name=\""description\""""},{""text"":""name=\""keywords\""""},{""text"":""content=\""description\""""},{""text"":""type=\""description\""""}]"
182,2024-07-26T23:10:09,🤔 Какой метод используется для создания нового массива с результатом вызова функции для каждого элемента массива?,,[],message,"[{""text"":""Array.prototype.forEach""},{""text"":""Array.prototype.filter""},{""text"":""Array.prototype.reduce""},{""text"":""Array.prototype.map""}]"
186,2024-07-27T19:10:09,"🤔 Какой метод JavaScript позволяет проверить, содержит ли элемент указанный класс?",,"[""JavaScript""]",message,"[{""text"":""hasClass()""},{""text"":""containsClass()""},{""text"":""getClass()""},{""text"":""classList.contains()""}]"
187,2024-07-27T19:10:16,"🤔 Какой атрибут у тега <input> указывает, что поле должно быть автоматически сфокусировано при загрузке страницы",,[],message,"[{""text"":""autofocus""},{""text"":""focus""},{""text"":""auto""},{""text"":""onload""}]"
189,2024-07-27T21:26:35,,,[],message,[]
190,2024-07-27T23:10:05,🤔 Какое свойство CSS используется для установки внешних отступов элемента?,,"[""CSS""]",message,"[{""text"":""padding""},{""text"":""border""},{""text"":""margin""},{""text"":""spacing""}]"
193,2024-07-28T12:10:07,🤔 Какой метод JavaScript используется для поиска всех элементов по имени класса?,,"[""JavaScript""]",message,"[{""text"":""document.querySelector()""},{""text"":""document.getElementById()""},{""text"":""document.getElementsByClassName()""},{""text"":""document.find()""}]"
195,2024-07-28T19:10:09,🤔 Какой HTML тег используется для создания многострочного текстового поля?,,"[""HTML""]",message,"[{""text"":""<input type=\""text\"">""},{""text"":""<textarea>""},{""text"":""<textfield>""},{""text"":""<multiline>""}]"
196,2024-07-28T23:10:06,🤔 Какой метод JavaScript используется для создания нового HTML элемента?,,"[""JavaScript"",""HTML""]",message,"[{""text"":""document.createElement()""},{""text"":""document.newElement()""},{""text"":""document.addElement()""},{""text"":""document.createNode()""}]"
197,2024-07-28T23:10:21,🤔 Какое свойство CSS задаёт толщину шрифта?,,"[""CSS""]",message,"[{""text"":""font-style""},{""text"":""text-weight""},{""text"":""font-weight""},{""text"":""text-style""}]"
199,2024-07-29T12:10:10,🤔 Какой метод JavaScript используется для удаления первого элемента из массива?,,"[""JavaScript""]",message,"[{""text"":""push()""},{""text"":""pop()""},{""text"":""shift()""},{""text"":""unshift()""}]"
202,2024-07-29T19:10:10,🤔 Какой HTML-элемент используется для создания нумерованных списков?,,"[""HTML""]",message,"[{""text"":""<ul>""},{""text"":""<ol>""},{""text"":""<list>""},{""text"":""<dl>""}]"
204,2024-07-29T23:10:07,"🤔 Какой тип CSS-свойства background-clip определяет, что фон будет ограничен контентом элемента?",,"[""CSS""]",message,"[{""text"":""border-box""},{""text"":""padding-box""},{""text"":""content-box""},{""text"":""margin-box""}]"
208,2024-07-30T19:10:06,🤔 Какой JavaScript метод используется для добавления одного или нескольких элементов в начало массива?,,"[""JavaScript""]",message,"[{""text"":""push()""},{""text"":""pop()""},{""text"":""shift()""},{""text"":""unshift()""}]"
210,2024-07-30T23:10:08,🤔 Какой атрибут тега <link> необходим для связывания таблицы стилей с HTML документом?,,"[""HTML""]",message,"[{""text"":""rel=\""stylesheet\""""},{""text"":""type=\""text/css\""""},{""text"":""href=\""style.css\""""},{""text"":""media=\""screen\""""}]"
212,2024-07-31T12:10:06,"🤔 Какой метод JavaScript используется для создания копии строки, измененной на основе регулярного выражения?",,"[""JavaScript""]",message,"[{""text"":""match()""},{""text"":""search()""},{""text"":""replace()""},{""text"":""split()""}]"
215,2024-07-31T19:10:07,🤔 Какой атрибут тега <meta> используется для контроля времени кэширования страницы в браузере?,,[],message,"[{""text"":""charset""},{""text"":""content""},{""text"":""http-equiv=\""refresh\""""},{""text"":""name=\""viewport\""""}]"
221,2024-08-01T19:10:11,🤔 Какой CSS-селектор используется для выбора элемента по значению его атрибута?,,"[""CSS""]",message,"[{""text"":""[attribute]""},{""text"":""[attribute=value]""},{""text"":""[value]""},{""text"":""[attribute^=value]""}]"
224,2024-08-02T12:10:11,🤔 Какой метод JavaScript удаляет элемент из DOM?,,"[""JavaScript"",""DOM""]",message,"[{""text"":""removeChild()""},{""text"":""deleteElement()""},{""text"":""remove()""},{""text"":""erase()""}]"
231,2024-08-03T12:10:08,🤔 Какое CSS свойство используется для создания тени за элементом?,,"[""CSS""]",message,"[{""text"":""box-shadow""},{""text"":""text-shadow""},{""text"":""border-shadow""},{""text"":""shadow""}]"
233,2024-08-03T19:10:07,"🤔 Какой метод JavaScript позволяет проверить, содержит ли элемент указанный класс?",,"[""JavaScript""]",message,"[{""text"":""hasClass()""},{""text"":""containsClass()""},{""text"":""getClass()""},{""text"":""classList.contains()""}]"
234,2024-08-03T19:10:10,🤔 Какой атрибут тега <input> создает поле для загрузки файлов?,,[],message,"[{""text"":""type=\""file\""""},{""text"":""type=\""upload\""""},{""text"":""type=\""attachment\""""},{""text"":""type=\""document\""""}]"
236,2024-08-03T23:10:07,🤔 Какое свойство CSS используется для установки внешних отступов элемента?,,"[""CSS""]",message,"[{""text"":""padding""},{""text"":""border""},{""text"":""margin""},{""text"":""spacing""}]"
240,2024-08-04T12:10:08,🤔 Какое свойство CSS используется для выравнивания текста по центру?,,"[""CSS""]",message,"[{""text"":""text-align: center""},{""text"":""text-justify: center""},{""text"":""text-placement: center""},{""text"":""text-center: true""}]"
242,2024-08-04T19:10:09,🤔 Какой HTML тег используется для создания многострочного текстового поля?,,"[""HTML""]",message,"[{""text"":""<input type=\""text\"">""},{""text"":""<textarea>""},{""text"":""<textfield>""},{""text"":""<multiline>""}]"
243,2024-08-04T19:10:19,"🤔 Какой CSS-свойство определяет, должен ли текст переноситься на новую строку?",,"[""CSS""]",message,"[{""text"":""white-space""},{""text"":""text-wrap""},{""text"":""overflow-text""},{""text"":""text-overflow""}]"
